Which metric measures investment profitability efficiency,ROI,ROE,ROA,EPS,ROI
Which asset represents company ownership,Stock,Bond,Cash,Gold,Stock
Which strategy reduces portfolio risk through diversification,Diversification,Leverage,Hedging,Speculation,Diversification
Which profit remains after all expenses,NetIncome,Revenue,EBITDA,Margin,NetIncome
Which account earns interest on deposits,Savings,Current,Credit,Loan,Savings
Which tax applies directly to earnings,Income,Sales,Excise,Customs,Income
Which market trend signals rising prices,Bull,Bear,Flat,Volatile,Bull
Which statement shows assets and liabilities,BalanceSheet,Income,CashFlow,Ledger,BalanceSheet
Which index measures consumer price changes,CPI,GDP,WPI,IPI,CPI
Which instrument pays fixed interest,Bond,Stock,ETF,Crypto,Bond
Which concept uses borrowed money to invest,Leverage,Equity,Dividend,Capital,Leverage
Which ratio measures short term liquidity,Current,Quick,Debt,Profit,Current
Which term means money owed by customers,Receivables,Payables,Expenses,Capital,Receivables
Which asset is most liquid,Cash,Gold,Land,Bonds,Cash
Which event offers shares publicly,IPO,Merger,Buyback,Bonus,IPO
Which fund tracks market index,ETF,Mutual,Hedge,Pension,ETF
Which term indicates rising prices,Inflation,Deflation,Recession,Stagnation,Inflation
Which margin measures operating efficiency,Margin,Revenue,Assets,Liability,Margin
Which profit excludes tax and interest,EBIT,NetProfit,GrossProfit,Turnover,EBIT
Which statement tracks cash movement,CashFlow,Income,BalanceSheet,Ledger,CashFlow
Which metric measures shareholder profitability,ROE,ROI,ROA,EPS,ROE
Which asset class includes government debt,Bond,Equity,Crypto,Commodity,Bond
Which concept protects against losses,Hedging,Diversification,Leverage,Speculation,Hedging
Which value shows earnings per share,EPS,ROI,ROE,DPS,EPS
Which market trend signals falling prices,Bear,Bull,Flat,Stable,Bear
Which model charges recurring fees,Subscription,Marketplace,Affiliate,Freemium,Subscription
Which analysis reviews strengths and weaknesses,SWOT,PEST,Porter,BCG,SWOT
Which term defines total market size,TAM,SAM,SOM,ROI,TAM
Which structure separates ownership management,Corporation,Partnership,SoleProprietor,LLP,Corporation
Which metric measures customer lifetime value,CLV,CAC,CTR,CPA,CLV
Which pricing starts high then drops,Skimming,Penetration,Freemium,Bundling,Skimming
Which document outlines company strategy,BusinessPlan,Invoice,Contract,PitchDeck,BusinessPlan
Which metric calculates acquisition cost,CAC,CPA,CTR,ROI,CAC
Which term describes rapid scalable growth,Scaling,Outsourcing,Downsizing,Diversifying,Scaling
Which model earns transaction commission,Marketplace,Subscription,Licensing,Advertising,Marketplace
Which metric measures customer loss rate,Churn,Retention,Conversion,Engagement,Churn
Which document summarizes startup idea,PitchDeck,Whitepaper,Contract,Invoice,PitchDeck
Which strategy focuses existing customers,Retention,Acquisition,Expansion,Growth,Retention
Which funding stage follows seed,SeriesA,SeriesB,Angel,IPO,SeriesA
Which method validates ideas quickly,MVP,Prototype,Alpha,Beta,MVP
Which metric measures business profitability,ROI,ROAS,CTR,CPC,ROI
Which leadership style encourages participation,Democratic,Autocratic,Laissez,Transactional,Democratic
